DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post
-7.0,85.0,1028.0,-5.0,3,46.04,0.0,0.0,3.0,3.0,3.0,164.0
-7.0,85.0,1027.0,-5.0,3,49.17,0.0,0.0,3.0,3.0,3.0,156.0
-8.0,85.0,1028.0,-6.0,3,52.3,0.0,0.0,3.0,3.0,3.0,126.0
-8.0,85.0,1027.0,-6.0,3,55.43,0.0,0.0,3.0,3.0,3.0,90.0
-7.0,92.0,1027.0,-6.0,3,58.56,0.4,0.4,3.0,3.0,3.0,63.0
-8.0,85.0,1026.0,-6.0,3,61.69,0.5,0.9,3.0,3.0,3.0,65.0
-8.0,92.0,1026.0,-7.0,3,65.71,0.5,1.4,3.0,3.0,3.0,55.0
-8.0,92.0,1025.0,-7.0,3,68.84,0.7,2.1,3.0,3.0,3.0,65.0
-8.0,92.0,1024.0,-7.0,3,72.86,1.2,3.3,3.0,3.0,3.0,83.0
-9.0,92.0,1024.0,-8.0,3,76.88,0.7,4.0,3.0,3.0,3.0,91.0
-10.0,85.0,1024.0,-8.0,3,80.9,1.0,5.0,3.0,3.0,3.0,86.0
-10.0,92.0,1024.0,-9.0,3,84.92,0.7,5.7,3.0,3.0,3.0,82.0
-10.0,92.0,1024.0,-9.0,3,89.84,0.5,6.2,3.0,3.0,3.0,86.0
-11.0,85.0,1023.0,-9.0,3,93.86,0.7,6.9,3.0,3.0,3.0,78.0
-11.0,85.0,1023.0,-9.0,3,97.88,0.4,7.3,3.0,3.0,3.0,98.0
-11.0,85.0,1022.0,-9.0,3,102.8,0.5,7.8,3.0,3.0,3.0,107.0
-11.0,85.0,1021.0,-9.0,3,105.93,1.1,8.9,3.0,3.0,3.0,90.0
-11.0,85.0,1020.0,-9.0,3,111.74,0.5,9.4,3.0,3.0,3.0,96.0
-11.0,85.0,1020.0,-9.0,3,116.66,0.3,9.7,3.0,3.0,3.0,95.0
-11.0,85.0,1020.0,-9.0,3,121.58,0.5,10.2,3.0,3.0,3.0,86.0
-11.0,85.0,1020.0,-9.0,3,124.71,0.2,10.4,3.0,3.0,3.0,70.0
-11.0,85.0,1020.0,-9.0,3,127.84,0.1,10.5,3.0,3.0,3.0,61.0
-11.0,85.0,1021.0,-9.0,8,0.89,0.4,10.9,3.0,3.0,3.0,53.0
-11.0,85.0,1022.0,-9.0,8,1.78,0.3,11.2,3.0,3.0,3.0,71.0
-10.0,92.0,1022.0,-9.0,7,4.02,0.0,0.0,3.0,3.0,3.0,72.0
-11.0,92.0,1023.0,-10.0,7,7.15,0.0,0.0,3.0,3.0,3.0,76.0
-11.0,85.0,1023.0,-9.0,7,11.17,0.0,0.0,3.0,3.0,3.0,73.0
-12.0,92.0,1023.0,-11.0,7,14.3,0.0,0.0,3.0,3.0,3.0,79.0
-14.0,85.0,1023.0,-12.0,7,16.09,0.0,0.0,3.0,3.0,3.0,58.0
-16.0,56.0,1023.0,-9.0,7,21.9,0.0,0.0,3.0,3.0,3.0,25.0
-17.0,56.0,1024.0,-10.0,7,29.95,0.0,0.0,3.0,3.0,3.0,26.0
-18.0,56.0,1024.0,-11.0,7,39.78,0.0,0.0,3.0,3.0,3.0,28.0
-19.0,51.0,1025.0,-11.0,7,48.72,0.0,0.0,3.0,3.0,3.0,26.0
-20.0,51.0,1026.0,-12.0,7,55.87,0.0,0.0,3.0,3.0,3.0,20.0
-21.0,47.0,1027.0,-12.0,7,64.81,0.0,0.0,3.0,3.0,3.0,29.0
-21.0,51.0,1027.0,-13.0,7,73.75,0.0,0.0,3.0,3.0,3.0,26.0
-22.0,46.0,1028.0,-13.0,7,80.9,0.0,0.0,3.0,3.0,3.0,27.0
-22.0,46.0,1029.0,-13.0,7,90.73,0.0,0.0,3.0,3.0,3.0,27.0
-22.0,43.0,1030.0,-12.0,7,100.56,0.0,0.0,3.0,3.0,3.0,25.0
-23.0,39.0,1031.0,-12.0,7,108.61,0.0,0.0,3.0,3.0,3.0,29.0
-21.0,43.0,1030.0,-11.0,7,117.55,0.0,0.0,3.0,3.0,3.0,32.0
-20.0,43.0,1030.0,-10.0,7,127.38,0.0,0.0,3.0,3.0,3.0,28.0
-21.0,40.0,1030.0,-10.0,7,136.32,0.0,0.0,3.0,3.0,3.0,29.0
-21.0,37.0,1030.0,-9.0,7,145.26,0.0,0.0,3.0,3.0,3.0,30.0
-21.0,37.0,1031.0,-9.0,7,152.41,0.0,0.0,3.0,3.0,3.0,30.0
-20.0,47.0,1032.0,-11.0,7,159.56,0.0,0.0,3.0,3.0,3.0,28.0
-23.0,36.0,1032.0,-11.0,7,165.37,0.0,0.0,3.0,3.0,3.0,26.0
-21.0,47.0,1033.0,-12.0,7,171.18,0.0,0.0,3.0,3.0,3.0,31.0
-24.0,36.0,1034.0,-12.0,7,180.12,0.0,0.0,3.0,3.0,3.0,33.0
-24.0,39.0,1034.0,-13.0,7,187.27,0.0,0.0,3.0,3.0,3.0,29.0
-24.0,39.0,1035.0,-13.0,7,195.32,0.0,0.0,3.0,3.0,3.0,31.0
-26.0,38.0,1035.0,-15.0,7,198.45,0.0,0.0,3.0,3.0,3.0,30.0
-26.0,45.0,1035.0,-17.0,7,201.58,0.0,0.0,3.0,3.0,3.0,34.0
-26.0,49.0,1035.0,-18.0,7,205.6,0.0,0.0,3.0,3.0,3.0,27.0
-26.0,53.0,1035.0,-19.0,7,208.73,0.0,0.0,3.0,3.0,3.0,25.0
-27.0,45.0,1035.0,-18.0,7,213.65,0.0,0.0,3.0,3.0,3.0,28.0
-27.0,49.0,1035.0,-19.0,7,218.57,0.0,0.0,3.0,3.0,3.0,28.0
-27.0,38.0,1034.0,-16.0,1,4.92,0.0,0.0,3.0,3.0,3.0,27.0
-26.0,41.0,1035.0,-16.0,1,8.05,0.0,0.0,3.0,3.0,3.0,27.0
-27.0,38.0,1034.0,-16.0,1,13.86,0.0,0.0,3.0,3.0,3.0,27.0
-26.0,41.0,1035.0,-16.0,1,18.78,0.0,0.0,3.0,3.0,3.0,29.0
-26.0,38.0,1035.0,-15.0,1,24.59,0.0,0.0,3.0,3.0,3.0,36.0
-25.0,38.0,1035.0,-14.0,1,29.51,0.0,0.0,3.0,3.0,3.0,30.0
-25.0,35.0,1035.0,-13.0,1,34.43,0.0,0.0,3.0,3.0,3.0,27.0
-25.0,33.0,1034.0,-12.0,1,39.35,0.0,0.0,3.0,3.0,3.0,39.0
-24.0,33.0,1032.0,-11.0,1,41.14,0.0,0.0,3.0,3.0,3.0,41.0
-22.0,39.0,1032.0,-11.0,8,0.89,0.0,0.0,3.0,3.0,3.0,33.0
-23.0,36.0,1031.0,-11.0,7,1.79,0.0,0.0,3.0,3.0,3.0,50.0
-24.0,33.0,1031.0,-11.0,7,3.58,0.0,0.0,3.0,3.0,3.0,56.0
-23.0,36.0,1031.0,-11.0,7,5.37,0.0,0.0,3.0,3.0,3.0,59.0
-23.0,36.0,1032.0,-11.0,7,7.16,0.0,0.0,3.0,3.0,3.0,60.0
-22.0,46.0,1033.0,-13.0,7,10.29,0.0,0.0,3.0,3.0,3.0,84.0
-22.0,43.0,1033.0,-12.0,7,13.42,0.0,0.0,3.0,3.0,3.0,106.0
-24.0,59.0,1033.0,-18.0,7,16.55,0.0,0.0,3.0,3.0,3.0,66.0
-22.0,46.0,1034.0,-13.0,7,20.57,0.0,0.0,3.0,3.0,3.0,50.0
-22.0,59.0,1033.0,-16.0,7,23.7,0.0,0.0,3.0,3.0,3.0,56.0
-25.0,49.0,1033.0,-17.0,7,26.83,0.0,0.0,3.0,3.0,3.0,77.0
-25.0,38.0,1033.0,-14.0,1,4.02,0.0,0.0,3.0,3.0,3.0,50.0
-26.0,35.0,1034.0,-14.0,1,8.04,0.0,0.0,3.0,3.0,3.0,44.0
-26.0,35.0,1033.0,-14.0,1,13.85,0.0,0.0,3.0,3.0,3.0,27.0
-26.0,35.0,1033.0,-14.0,1,17.87,0.0,0.0,3.0,3.0,3.0,28.0
-26.0,35.0,1033.0,-14.0,1,23.68,0.0,0.0,3.0,3.0,3.0,21.0
-26.0,35.0,1033.0,-14.0,1,28.6,0.0,0.0,3.0,3.0,3.0,25.0
-26.0,38.0,1034.0,-15.0,1,33.52,0.0,0.0,3.0,3.0,3.0,20.0
-26.0,35.0,1034.0,-14.0,1,39.33,0.0,0.0,3.0,3.0,3.0,29.0
-25.0,35.0,1035.0,-13.0,1,44.25,0.0,0.0,3.0,3.0,3.0,34.0
-25.0,33.0,1035.0,-12.0,1,50.06,0.0,0.0,3.0,3.0,3.0,42.0
-24.0,33.0,1035.0,-11.0,1,54.98,0.0,0.0,3.0,3.0,3.0,28.0
-24.0,30.0,1034.0,-10.0,1,59.0,0.0,0.0,3.0,3.0,3.0,36.0
-22.0,36.0,1033.0,-10.0,7,4.02,0.0,0.0,3.0,3.0,3.0,48.0
-22.0,34.0,1033.0,-9.0,7,5.81,0.0,0.0,3.0,3.0,3.0,49.0
-22.0,31.0,1033.0,-8.0,8,0.89,0.0,0.0,3.0,3.0,3.0,52.0
-22.0,31.0,1033.0,-8.0,7,1.79,0.0,0.0,3.0,3.0,3.0,56.0
-21.0,37.0,1033.0,-9.0,7,3.58,0.0,0.0,3.0,3.0,3.0,96.0
-22.0,34.0,1033.0,-9.0,7,5.37,0.0,0.0,3.0,3.0,3.0,75.0
-22.0,50.0,1034.0,-14.0,8,0.89,0.0,0.0,3.0,3.0,3.0,105.0
-22.0,43.0,1035.0,-12.0,7,1.79,0.0,0.0,3.0,3.0,3.0,132.0
-21.0,55.0,1034.0,-14.0,7,3.58,0.0,0.0,3.0,3.0,3.0,93.0
-22.0,59.0,1035.0,-16.0,7,5.37,0.0,0.0,3.0,3.0,3.0,131.0
-21.0,65.0,1035.0,-16.0,7,7.16,0.0,0.0,3.0,3.0,3.0,127.0
-21.0,65.0,1035.0,-16.0,7,8.95,0.0,0.0,3.0,3.0,3.0,130.0
-21.0,65.0,1035.0,-16.0,8,0.45,0.0,0.0,3.0,3.0,3.0,43.0
-22.0,70.0,1036.0,-18.0,8,1.34,0.0,0.0,3.0,3.0,3.0,37.0
-23.0,50.0,1036.0,-15.0,7,4.02,0.0,0.0,3.0,3.0,3.0,30.0
-24.0,50.0,1035.0,-16.0,7,7.15,0.0,0.0,3.0,3.0,3.0,28.0
-25.0,42.0,1035.0,-15.0,7,10.28,0.0,0.0,3.0,3.0,3.0,24.0
-24.0,46.0,1035.0,-15.0,7,14.3,0.0,0.0,3.0,3.0,3.0,23.0
-25.0,35.0,1036.0,-13.0,1,4.92,0.0,0.0,3.0,3.0,3.0,24.0
-24.0,42.0,1036.0,-14.0,7,4.02,0.0,0.0,3.0,3.0,3.0,27.0
-23.0,39.0,1036.0,-12.0,7,8.94,0.0,0.0,3.0,3.0,3.0,40.0
-22.0,39.0,1036.0,-11.0,7,12.96,0.0,0.0,3.0,3.0,3.0,42.0
-20.0,43.0,1036.0,-10.0,7,16.09,0.0,0.0,3.0,3.0,3.0,42.0
-21.0,37.0,1035.0,-9.0,7,19.22,0.0,0.0,3.0,3.0,3.0,55.0
-21.0,34.0,1034.0,-8.0,7,21.01,0.0,0.0,3.0,3.0,3.0,52.0
-20.0,34.0,1033.0,-7.0,7,22.8,0.0,0.0,3.0,3.0,3.0,51.0
-20.0,34.0,1032.0,-7.0,7,24.59,0.0,0.0,3.0,3.0,3.0,57.0
-18.0,44.0,1032.0,-8.0,7,26.38,0.0,0.0,3.0,3.0,3.0,50.0
-19.0,44.0,1032.0,-9.0,7,28.17,0.0,0.0,3.0,3.0,3.0,54.0
-19.0,51.0,1032.0,-11.0,1,0.89,0.0,0.0,3.0,3.0,3.0,67.0
-18.0,56.0,1033.0,-11.0,7,1.79,0.0,0.0,3.0,3.0,3.0,106.0
-19.0,71.0,1032.0,-15.0,1,1.79,0.0,0.0,3.0,3.0,3.0,159.0
-19.0,65.0,1032.0,-14.0,8,0.45,0.0,0.0,3.0,3.0,3.0,198.0
-21.0,55.0,1032.0,-14.0,8,1.34,0.0,0.0,3.0,3.0,3.0,190.0
-21.0,65.0,1032.0,-16.0,8,2.23,0.0,0.0,3.0,3.0,3.0,210.0
-21.0,71.0,1031.0,-17.0,7,1.79,0.0,0.0,3.0,3.0,3.0,195.0
-19.0,77.0,1031.0,-16.0,7,3.58,0.0,0.0,3.0,3.0,3.0,275.0
-20.0,71.0,1031.0,-16.0,1,0.89,0.0,0.0,3.0,3.0,3.0,164.0
-19.0,71.0,1030.0,-15.0,3,0.89,0.0,0.0,3.0,3.0,3.0,110.0
-18.0,77.0,1030.0,-15.0,8,0.45,0.0,0.0,3.0,3.0,3.0,100.0
-18.0,77.0,1029.0,-15.0,8,1.34,0.0,0.0,3.0,3.0,3.0,81.0
-18.0,77.0,1029.0,-15.0,7,1.79,0.0,0.0,3.0,3.0,3.0,71.0
-16.0,78.0,1029.0,-13.0,1,0.89,0.0,0.0,3.0,3.0,3.0,66.0
-16.0,72.0,1029.0,-12.0,3,0.89,0.0,0.0,3.0,3.0,3.0,92.0
-16.0,72.0,1030.0,-12.0,3,1.78,0.0,0.0,3.0,3.0,3.0,135.0
-17.0,56.0,1030.0,-10.0,1,0.89,0.0,0.0,3.0,3.0,3.0,155.0
-16.0,61.0,1029.0,-10.0,8,0.89,0.0,0.0,3.0,3.0,3.0,198.0
-16.0,56.0,1028.0,-9.0,3,3.13,0.0,0.0,3.0,3.0,3.0,250.0
-15.0,57.0,1026.0,-8.0,3,4.92,0.0,0.0,3.0,3.0,3.0,200.0
-16.0,52.0,1026.0,-8.0,8,0.89,0.0,0.0,3.0,3.0,3.0,231.0
-16.0,52.0,1025.0,-8.0,8,1.78,0.0,0.0,3.0,3.0,3.0,250.0
-16.0,52.0,1025.0,-8.0,8,2.67,0.0,0.0,3.0,3.0,3.0,212.0
-17.0,48.0,1025.0,-8.0,3,0.89,0.0,0.0,3.0,3.0,3.0,219.0
-17.0,52.0,1026.0,-9.0,8,0.45,0.0,0.0,3.0,3.0,3.0,227.0
-17.0,61.0,1026.0,-11.0,8,1.34,0.0,0.0,3.0,3.0,3.0,226.0
-17.0,66.0,1026.0,-12.0,8,1.79,0.0,0.0,3.0,3.0,3.0,225.0
-18.0,71.0,1027.0,-14.0,7,1.79,0.0,0.0,3.0,3.0,3.0,168.0
-16.0,56.0,1027.0,-9.0,7,4.92,0.0,0.0,3.0,3.0,3.0,169.0
-16.0,66.0,1027.0,-11.0,7,6.71,0.0,0.0,3.0,3.0,3.0,165.0
-17.0,71.0,1027.0,-13.0,8,0.89,0.0,0.0,3.0,3.0,3.0,159.0
-17.0,71.0,1027.0,-13.0,7,3.13,0.0,0.0,3.0,3.0,3.0,167.0
-17.0,77.0,1027.0,-14.0,7,4.92,0.0,0.0,3.0,3.0,3.0,196.0
-17.0,84.0,1027.0,-15.0,7,8.05,0.0,0.0,3.0,3.0,3.0,169.0
-17.0,71.0,1027.0,-13.0,7,9.84,0.0,0.0,3.0,3.0,3.0,155.0
-19.0,77.0,1027.0,-16.0,7,13.86,0.0,0.0,3.0,3.0,3.0,119.0
-18.0,77.0,1027.0,-15.0,7,17.88,0.0,0.0,3.0,3.0,3.0,106.0
-19.0,71.0,1027.0,-15.0,7,21.9,0.0,0.0,3.0,3.0,3.0,93.0
-18.0,71.0,1028.0,-14.0,7,25.92,0.0,0.0,3.0,3.0,3.0,84.0
-18.0,48.0,1029.0,-9.0,1,5.81,0.0,0.0,3.0,3.0,3.0,73.0
-17.0,44.0,1029.0,-7.0,1,11.62,0.0,0.0,3.0,3.0,3.0,66.0
-17.0,41.0,1030.0,-6.0,1,17.43,0.0,0.0,3.0,3.0,3.0,40.0
-16.0,45.0,1029.0,-6.0,1,23.24,0.0,0.0,3.0,3.0,3.0,49.0
-16.0,41.0,1029.0,-5.0,1,28.16,0.0,0.0,3.0,3.0,3.0,50.0
-15.0,42.0,1029.0,-4.0,1,33.08,0.0,0.0,3.0,3.0,3.0,49.0
-14.0,45.0,1028.0,-4.0,1,37.1,0.0,0.0,3.0,3.0,3.0,41.0
-15.0,42.0,1029.0,-4.0,1,38.89,0.0,0.0,3.0,3.0,3.0,37.0
-15.0,42.0,1030.0,-4.0,7,1.79,0.0,0.0,3.0,3.0,3.0,45.0
-15.0,52.0,1030.0,-7.0,1,3.13,0.0,0.0,3.0,3.0,3.0,44.0
-15.0,48.0,1031.0,-6.0,7,3.13,0.0,0.0,3.0,3.0,3.0,54.0
-15.0,52.0,1032.0,-7.0,7,4.92,0.0,0.0,3.0,3.0,3.0,50.0
-15.0,48.0,1032.0,-6.0,1,3.13,0.0,0.0,3.0,3.0,3.0,47.0
-15.0,57.0,1033.0,-8.0,8,0.45,0.0,0.0,3.0,3.0,3.0,66.0
-15.0,57.0,1033.0,-8.0,8,0.9,0.0,0.0,3.0,3.0,3.0,75.0
-15.0,72.0,1033.0,-11.0,7,0.89,0.0,0.0,3.0,3.0,3.0,82.0
-17.0,71.0,1033.0,-13.0,7,1.78,0.0,0.0,3.0,3.0,3.0,66.0
-17.0,66.0,1033.0,-12.0,7,4.91,0.0,0.0,3.0,3.0,3.0,83.0
-17.0,71.0,1033.0,-13.0,7,8.04,0.0,0.0,3.0,3.0,3.0,62.0
-19.0,65.0,1032.0,-14.0,7,9.83,0.0,0.0,3.0,3.0,3.0,40.0
-18.0,66.0,1032.0,-13.0,7,12.96,0.0,0.0,3.0,3.0,3.0,23.0
-19.0,60.0,1032.0,-13.0,7,16.09,0.0,0.0,3.0,3.0,3.0,25.0
-19.0,65.0,1033.0,-14.0,7,19.22,0.0,0.0,3.0,3.0,3.0,27.0
-19.0,65.0,1034.0,-14.0,7,22.35,0.0,0.0,3.0,3.0,3.0,35.0
-17.0,66.0,1033.0,-12.0,7,24.14,0.0,0.0,3.0,3.0,3.0,50.0
-16.0,48.0,1033.0,-7.0,1,4.02,0.0,0.0,3.0,3.0,3.0,70.0
-15.0,52.0,1033.0,-7.0,7,3.13,0.0,0.0,3.0,3.0,3.0,75.0
-15.0,52.0,1032.0,-7.0,7,6.26,0.0,0.0,3.0,3.0,3.0,58.0
-14.0,53.0,1031.0,-6.0,7,9.39,0.0,0.0,3.0,3.0,3.0,70.0
-14.0,53.0,1031.0,-6.0,7,12.52,0.0,0.0,3.0,3.0,3.0,68.0
-13.0,53.0,1030.0,-5.0,7,14.31,0.0,0.0,3.0,3.0,3.0,71.0
-14.0,49.0,1031.0,-5.0,7,16.1,0.0,0.0,3.0,3.0,3.0,88.0
-14.0,53.0,1031.0,-6.0,7,19.23,0.0,0.0,3.0,3.0,3.0,84.0
-13.0,62.0,1032.0,-7.0,7,23.25,0.0,0.0,3.0,3.0,3.0,83.0
-15.0,48.0,1032.0,-6.0,7,27.27,0.0,0.0,3.0,3.0,3.0,66.0
-15.0,48.0,1033.0,-6.0,7,30.4,0.0,0.0,3.0,3.0,3.0,27.0
-15.0,42.0,1034.0,-4.0,7,35.32,0.0,0.0,3.0,3.0,3.0,24.0
-16.0,38.0,1034.0,-4.0,7,44.26,0.0,0.0,3.0,3.0,3.0,22.0
-17.0,38.0,1035.0,-5.0,7,52.31,0.0,0.0,3.0,3.0,3.0,23.0
-17.0,41.0,1035.0,-6.0,7,60.36,0.0,0.0,3.0,3.0,3.0,27.0
-17.0,48.0,1035.0,-8.0,8,0.89,0.0,0.0,3.0,3.0,3.0,23.0
-19.0,51.0,1036.0,-11.0,7,4.02,0.0,0.0,3.0,3.0,3.0,17.0
-20.0,47.0,1036.0,-11.0,7,8.94,0.0,0.0,3.0,3.0,3.0,17.0
-21.0,43.0,1035.0,-11.0,1,4.02,0.0,0.0,3.0,3.0,3.0,16.0
-22.0,43.0,1035.0,-12.0,7,3.13,0.0,0.0,3.0,3.0,3.0,16.0
-22.0,43.0,1035.0,-12.0,1,4.92,0.0,0.0,3.0,3.0,3.0,20.0
-22.0,46.0,1036.0,-13.0,7,5.81,0.0,0.0,3.0,3.0,3.0,20.0
-22.0,34.0,1036.0,-9.0,7,13.86,0.0,0.0,3.0,3.0,3.0,18.0
-22.0,36.0,1036.0,-10.0,7,21.91,0.0,0.0,3.0,3.0,3.0,25.0
-22.0,34.0,1036.0,-9.0,7,29.06,0.0,0.0,3.0,3.0,3.0,26.0
-21.0,37.0,1036.0,-9.0,7,33.08,0.0,0.0,3.0,3.0,3.0,27.0
-20.0,32.0,1035.0,-6.0,7,42.02,0.0,0.0,3.0,3.0,3.0,28.0
-19.0,32.0,1034.0,-5.0,7,50.96,0.0,0.0,3.0,3.0,3.0,15.0
-19.0,32.0,1033.0,-5.0,7,59.01,0.0,0.0,3.0,3.0,3.0,24.0
-20.0,29.0,1033.0,-5.0,7,66.16,0.0,0.0,3.0,3.0,3.0,13.0
-20.0,29.0,1032.0,-5.0,7,71.97,0.0,0.0,3.0,3.0,3.0,13.0
-20.0,29.0,1033.0,-5.0,7,76.89,0.0,0.0,3.0,3.0,3.0,13.0
-20.0,34.0,1033.0,-7.0,7,81.81,0.0,0.0,3.0,3.0,3.0,17.0
-22.0,29.0,1033.0,-7.0,7,85.83,0.0,0.0,3.0,3.0,3.0,20.0
-22.0,31.0,1033.0,-8.0,7,89.85,0.0,0.0,3.0,3.0,3.0,27.0
-23.0,33.0,1033.0,-10.0,7,91.64,0.0,0.0,3.0,3.0,3.0,20.0
-23.0,42.0,1033.0,-13.0,7,93.43,0.0,0.0,3.0,3.0,3.0,15.0
-22.0,43.0,1032.0,-12.0,8,0.89,0.0,0.0,3.0,3.0,3.0,21.0
-22.0,55.0,1031.0,-15.0,8,1.78,0.0,0.0,3.0,3.0,3.0,21.0
-22.0,50.0,1031.0,-14.0,1,1.79,0.0,0.0,3.0,3.0,3.0,37.0
-22.0,50.0,1031.0,-14.0,7,0.89,0.0,0.0,3.0,3.0,3.0,26.0
-24.0,59.0,1030.0,-18.0,1,1.79,0.0,0.0,3.0,3.0,3.0,15.0
-24.0,39.0,1030.0,-13.0,1,3.58,0.0,0.0,3.0,3.0,3.0,9.0
-25.0,38.0,1030.0,-14.0,7,3.13,0.0,0.0,3.0,3.0,3.0,11.0
-24.0,42.0,1030.0,-14.0,7,7.15,0.0,0.0,3.0,3.0,3.0,11.0
-25.0,33.0,1030.0,-12.0,7,12.96,0.0,0.0,3.0,3.0,3.0,16.0
-26.0,35.0,1030.0,-14.0,7,16.98,0.0,0.0,3.0,3.0,3.0,13.0
-25.0,33.0,1031.0,-12.0,7,21.0,0.0,0.0,3.0,3.0,3.0,15.0
-25.0,30.0,1031.0,-11.0,7,26.81,0.0,0.0,3.0,3.0,3.0,21.0
-24.0,33.0,1030.0,-11.0,7,35.75,0.0,0.0,3.0,3.0,3.0,24.0
-23.0,36.0,1029.0,-11.0,7,47.82,0.0,0.0,3.0,3.0,3.0,22.0
-22.0,39.0,1029.0,-11.0,7,63.02,0.0,0.0,3.0,3.0,3.0,22.0
-23.0,36.0,1029.0,-11.0,7,75.98,0.0,0.0,3.0,3.0,3.0,22.0
-22.0,39.0,1029.0,-11.0,7,88.05,0.0,0.0,3.0,3.0,3.0,19.0
-23.0,36.0,1030.0,-11.0,7,101.01,0.0,0.0,3.0,3.0,3.0,23.0
-24.0,33.0,1030.0,-11.0,7,109.06,0.0,0.0,3.0,3.0,3.0,25.0
